Vulnerabilities Structured Review,Category,Description
Insecure Data Transfer and Storage,Device,"This refers to the improper exposure or compromise of information during transmission or storage. Data generated in the hardware when modified can cause an absolute difference in the data, which is subsequently sent to higher layers for processing. This vulnerability occurs because IoT devices, which are responsible for collecting and transferring data, are susceptible to various forms of attack. For example, injecting false data into the sensor is a form of attack on IoT systems, which can direct automated system decisions to behave in the manner desired by the attacker."
Insecure Firmware,Device,"Security vulnerabilities present in the firmware of devices, which can be exploited by adversaries to compromise the integrity, confidentiality, or availability of the device or the information it handles. Firmware is the low-level software that controls the operation of IoT devices. Due to the heterogeneous nature of these devices, firmware is not updated frequently, leading to a variety of security threats."
Insecure Initialization,Device,"Security vulnerabilities in the device boot process, which can be exploited by adversaries to compromise the integrity, authenticity, or confidentiality of the system during the boot-up and configuration process of the devices. This critical phase is when the device is powered on, and basic software and hardware components are initialized to prepare the device for operation."
Insecure Interface Configuration,Application,"Web interfaces are commonly used to interact with IoT devices, allowing users to access and control their resources and settings through a browser. However, if these interfaces are not properly secured, they can pose a significant security risk. Inadequate security in an IoT web interface can lead to various vulnerabilities, including weak or predictable passwords, encryption issues, authentication failures, outdated software, and lack of access control."
Insecure Management of Data,Application,"Lack of proper management and protection of the data collected, processed, and stored by IoT systems and devices. This may include a range of issues related to how data is handled throughout its lifecycle, from collection to storage and sharing. Depending on the security mechanisms used, personal information can be easily leaked, resulting in security breaches."
Insecure Password,Device,"A security vulnerability occurs when passwords are weak, easy to guess, default, shared, or stored incorrectly. Passwords are a standard mechanism for authentication and protection in computer systems and applications. However, when chosen or managed inadequately, they can allow unauthorized access to accounts, devices, or sensitive information."
Insecure physical interface,Device,"Security vulnerabilities related to physical interaction with the device, whether through physical connection ports, user interfaces, or other physical access points. These vulnerabilities can allow adversaries to gain unauthorized access to the device, manipulate its functionality, or compromise its security."
Insecure Server,Network,"It refers to a server or backend infrastructure that is vulnerable to security threats and lacks proper safeguards to protect the data and devices connected to the network. In IoT networks, servers play a critical role in data processing, storage, and communication between devices and applications."
Insecure Software,Application,"Software updates are a process that should never fail or be compromised in an IoT-based system. Attention should be paid to insecure update processes that risk installing malicious or unauthorized software, with corrupted updates that can compromise IoT devices. It is important to avoid using insecure or outdated components, such as open-source or third-party software. However, manually updating patches for each IoT device may not be feasible."
Insecure traffic control,Network,"Security vulnerabilities that allow interception, manipulation, or compromise of data traffic between IoT devices and other elements of the network, such as gateways, servers, cloud services, or flaws in the network security firewall itself."
Insecure Update Mechanisms,Network,"Failures in firmware, software, or other parts of IoT devices and network infrastructure updates. These update mechanisms are crucial for fixing security flaws, adding new features, and ensuring the proper performance of devices. IoT-connected resources have an increased demand for updates, and the frequency of messages causes latency, resulting in network vulnerabilities."
Insufficient Testing,Device,Most IoT devices are rapidly produced to meet the growing market demands and thus may not undergo adequate testing or adhere to any acceptable security standards or evaluation frameworks. These devices may not have been tested as rigorously as desktop/server operating systems.
Knowledge the System,Peopleware,"For system knowledge vulnerability, we have two reference points: the attacker's perspective, as they are aware of the system's weaknesses and employ malware or appropriate intrusion techniques, and the user's perspective, considering the growing innovation of IoT technologies, where many users still need to understand how modern IoT devices are designed and function to better protect themselves."
Lack of Active Device Monitoring,Application,"The absence of a robust system to continuously monitor the status, behavior, and activities of IoT devices on the network. Monitoring IoT devices can be challenging. This is because most existing monitoring tools and practices, especially those focused on the cloud, have traditionally been designed to monitor time-series metric data without a focus on modern IoT devices or their processes. The lack of active IoT device monitoring tools makes it difficult to achieve full network visibility in IoT-based smart environments."
Lack of Proper Authentication Mechanisms,Network,"The absence or inadequacy of mechanisms that verify the identity and permissions of entities, such as devices, users, or services, attempting to access or interact with the network. Authentication is a fundamental security mechanism that ensures only authorized entities have access to the network and its resources."
Lack of Side Channel Protection,Device,"A side-channel attack refers to attacks that result in the disclosure of useful information about transmitted data or the internal operation of the system through alternative paths. These side channels can be exploited by adversaries to obtain confidential information that can be gleaned through channels such as energy consumption patterns, electromagnetic emissions, response times, among others, even without direct access to the data transmitted over the network."
Lack of Strong Authentication,Device,"An authentication protocol should be developed to confirm mutual trust between different objects, users, or systems by verifying their identities. This prevents an attacker from accessing the device without providing the correct credentials, bypassing authentication mechanisms, and gaining control over the device."
Lack of Strong Password,Network,"The absence or improper use of strong and secure passwords for authentication and access control within the network. Passwords serve as a primary means of verifying the identity of users, devices, or services attempting to access the IoT network or its resources."
Lack of Technical Support,Peopleware,"The absence or insufficient availability of resources, expertise, and assistance to deal with technical issues or provide guidance for IoT devices and networks. When there's a lack of technical support, users of IoT systems may encounter difficulties in configuration, troubleshooting, or maintaining their devices and networks."
Lack Secure Communication Protocols,Network,"The lack or improper use of protocols that ensure confidentiality, integrity, and authenticity of data transmitted between IoT devices, services, and backend systems. If secure communication protocols are not in place, this introduces significant security risks."
Low Computing Power,Device,"IoT devices often have limited resources, meaning they may have to rely on less robust operating systems and network protocols, making them easier to compromise. On the other hand, they collect sensitive information, exacerbating the risk. Limited processing capacity causes traditional security methods to suffer various setbacks and often fail to detect physical threats on the network."
Low Data Transmission Range,Device,Devices with low data transmission range are susceptible to attacks because they require proximity to other devices to exchange data. This means that an attacker can easily infiltrate the range of these devices to carry out proximity attacks.
Low-Quality Level Code,Application,"Low-quality code in IoT environment applications refers to the presence of software development practices that result in poorly structured source code with potential security and reliability issues, due to the improper use of resources resulting in security flaws such as lack of input validation, improper password handling, or weak encryption, which can facilitate attacks."
Malicious code in-app,Application,"Malicious code in IoT system applications refers to software programs or code snippets that have been developed with malicious intent and are designed to compromise the security, privacy, or proper functioning of IoT devices and related systems."
Malicious Code Injection,Device,"The attacker injects malicious code into a compromised physical device, which can assist in launching further attacks. The attacker compromises a node by physically injecting malicious code into it, granting access to the IoT system. One objective of these injections is to install a compromised version of the software/firmware during wireless updates of the IoT device, which could give the adversary full remote control over the compromised device."
Non-repudiation,Application,"In the context of information security, non-repudiation ensures that the sender of the information is provided with proof of delivery, and the recipient is provided with proof of the sender's identity, so that neither party can later deny having processed the information."
Obtaining Console Access,Device,"When connecting to a serial interface, it's possible to gain full access to a device's console. The attacker can access the hardware and read/modify the device's default settings, which can affect privacy and authentication credentials with intentional modification of the system circuit configuration."
Personal and Social Circumstances,Peopleware,"Security flaws arising from personal and social factors related to users, such as inappropriate behaviors, lack of awareness or training, negligence, or misuse of IoT devices."
Phishing,Peopleware,Phishing is used to deceive people into providing their personal information or downloading malicious software capable of spreading malware. A malicious entity attempts to redirect the device user to another server for marketing purposes or to try to deceive and steal personal information.
Physical Damage,Device,"Physical damage to equipment can be natural, as a result of a calamity, or even resulting from a direct physical attack by someone. This can lead to null values at the destination or lost values, which can cause an imbalance in real-time data processing."
Physical properties of the power system,Network,It refers to security vulnerabilities that arise from the physical infrastructure and characteristics of the electrical power supply system used to support IoT devices and networks. Power systems are essential for providing the necessary electrical power to operate the devices and ensure their continuous functionality.
Physical Tampering,Device,"It refers to the act of physically altering a device (e.g., RFID) or a communication link. It is important to mention that an adversary can tamper with the device and use it to introduce an impostor into the system, maliciously use the device, or use it outside of its intended functionality. This type of attack is launched when the attacker is much closer to the network device and is compelled to break the hardware without permission."
Sleep Deprivation,Device,"Many IoT devices use batteries as power sources, so they only detect and transmit periodically and enter a sleep state in between. This attack aims to somehow prevent the devices from entering sleep mode or minimize the suspension period, thus depleting the battery much more rapidly than in normal use."
Social Engineering,Peopleware,The attacker manipulates system users to extract private information. This makes it easy for attackers to use social engineering to deceive IoT device users into providing data or sensitive information that can be used to access smart environment networks.
Spoofing Signal,Network,"An attacker impersonates or falsifies a signal to deceive IoT devices, services, or networks into accepting unauthorized commands or providing sensitive information. Signal spoofing involves manipulating or mimicking the signals transmitted between devices or services to gain unauthorized access or manipulate the network."
SQL Injections,Application,"This is one of the most well-known vulnerability points for servers that accept SQL queries and updates, where additional commands can be injected to steal information from the database or alter/delete records. In this type of attack, many attackers use SQL statements for write, delete operations, and read when the web application is being compromised by SQL injection."
Systems Low-cost,Device,"In many IoT devices, there are security risks associated with production and implementation that prioritize cost reduction excessively, often at the expense of security. These devices may exhibit various weaknesses that make them more susceptible to cyberattacks."
Tag Cloning,Device,Malicious activity in which an attacker duplicates or replicates the unique identification tag of an IoT device to deceive or compromise the system. Tags are components used in technologies like RFID (Radio Frequency Identification) to identify and track devices or objects. Label cloning at the physical layer involves obtaining unique identification information from a legitimate tag and reproducing it on a counterfeit tag.
Unauthorized Access,Network,"Access control is necessary to prevent unauthorized entities from accessing system resources and to ensure that authorized entities can only access the resources to which they have permission. Therefore, reliable access control policies play an important role in preventing activities that lead to a security breach in IoT."
Unprotected Physical Access,Device,It refers to the physical capture of an IoT device. This threat can be serious if IoT devices need to be deployed in areas without physical security protection.
Unsecured Network,Network,Keeping IoT devices on a separate private network also eliminates the possibility of an attacker infecting other devices and spreading malware on the network when the device is connected to unsecured public Wi-Fi networks.
Untrusted Device Acquisition,Peopleware,Users or organizations acquire and integrate IoT devices into their networks without ensuring the reliability or security of these devices.
Unused Ports Enable,Network,"Unnecessary or unused network ports on IoT devices or network infrastructure are left enabled, potentially providing unauthorized access points for attackers. Unused ports are those that are not actively used for the intended purposes in the IoT network."
Vendor Security Posture,Peopleware,"When security vulnerabilities are discovered, the vendor's response significantly determines the impact. The vendor plays a role in receiving information about potential vulnerabilities, developing mitigation measures, and updating devices in the field."
Weak Access Control,Device,"Security flaw that allows unauthorized or malicious users to gain unauthorized access to resources, functionalities, or data of the IoT device. This vulnerability may result from an inadequate implementation of access control policies, weak authentication, or absence of robust authorization mechanisms."
Weak/lack Encryption in Communication,Network,It refers to a security vulnerability that arises when data transmitted between devices and the network is not adequately protected with strong encryption mechanisms.
Weak/lack In-app Encryption,Application,"Weak or missing encryption in IoT systems applications refers to the lack of proper implementation of encryption algorithms or the use of encryption algorithms that are considered weak and easily broken. Encryption is an essential measure to protect the confidentiality, integrity and authenticity of data transmitted and stored in IoT systems"
Weak/lack of Encrypt,Device,Weakness or lack of encryption in IoT devices refers to a vulnerability where the encryption mechanisms in place to protect data in transit or at rest within devices are insufficient or completely missing
Wifi De-authentication,Network,"Wi-Fi de-authentication is by no means new, but in the context of the smart home, loss of Wi-Fi means loss of in-home Internet connectivity, which IoT platforms are increasingly dependent on to function. When an attacker maliciously de-authenticates or disconnects IoT devices from their Wi-Fi networks, it can lead to service interruptions, loss of connectivity, or unauthorized access to the devices or network. Wi-Fi de-authentication attacks exploit the communication protocol used by Wi-Fi networks to force devices to disconnect from their current network"
